2026-06-11 16:29:09.515 +05:30 [WRN] ApiGateway | requestId: 0HNM7L1Q8JJCQ:00000002, previousRequestId: No PreviousRequestId, message: '400 (Bad Request) status code of request URI: http://localhost:5001/api/auth/login.'
2026-06-11 16:29:09.518 +05:30 [DBG] ApiGateway | requestId: 0HNM7L1Q8JJCQ:00000002, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-11 16:29:09.536 +05:30 [DBG] ApiGateway | requestId: 0HNM7L1Q8JJCQ:00000002, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-11 16:29:09.546 +05:30 [DBG] ApiGateway | requestId: 0HNM7L1Q8JJCQ:00000002, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-11 16:35:12.196 +05:30 [DBG] ApiGateway | requestId: 0HNM7L1Q8JJCR:00000002, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-11 16:35:12.213 +05:30 [DBG] ApiGateway | requestId: 0HNM7L1Q8JJCR:00000002, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/Auth/login'
2026-06-11 16:35:12.219 +05:30 [DBG] ApiGateway | requestId: 0HNM7L1Q8JJCR:00000002, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/auth/{everything}'
2026-06-11 16:35:12.222 +05:30 [INF] ApiGateway | requestId: 0HNM7L1Q8JJCR:00000002, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/auth/{everything}'
2026-06-11 16:35:12.226 +05:30 [INF] ApiGateway | requestId: 0HNM7L1Q8JJCR:00000002, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/Auth/login'.'
2026-06-11 16:35:12.228 +05:30 [INF] ApiGateway | requestId: 0HNM7L1Q8JJCR:00000002, previousRequestId: No PreviousRequestId, message: '/api/auth/{everything} route does not require user to be authorized'
2026-06-11 16:35:12.230 +05:30 [DBG] ApiGateway | requestId: 0HNM7L1Q8JJCR:00000002, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5001/api/auth/login'
2026-06-11 16:35:12.306 +05:30 [WRN] ApiGateway | requestId: 0HNM7L1Q8JJCR:00000002, previousRequestId: No PreviousRequestId, message: '400 (Bad Request) status code of request URI: http://localhost:5001/api/auth/login.'
2026-06-11 16:35:12.309 +05:30 [DBG] ApiGateway | requestId: 0HNM7L1Q8JJCR:00000002, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-11 16:35:12.313 +05:30 [DBG] ApiGateway | requestId: 0HNM7L1Q8JJCR:00000002, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-11 16:35:12.316 +05:30 [DBG] ApiGateway | requestId: 0HNM7L1Q8JJCR:00000002, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-11 16:35:23.514 +05:30 [DBG] ApiGateway | requestId: 0HNM7L1Q8JJCR:00000004, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-11 16:35:23.517 +05:30 [DBG] ApiGateway | requestId: 0HNM7L1Q8JJCR:00000004, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/Auth/login'
2026-06-11 16:35:23.520 +05:30 [DBG] ApiGateway | requestId: 0HNM7L1Q8JJCR:00000004, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/auth/{everything}'
2026-06-11 16:35:23.522 +05:30 [INF] ApiGateway | requestId: 0HNM7L1Q8JJCR:00000004, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/auth/{everything}'
2026-06-11 16:35:23.524 +05:30 [INF] ApiGateway | requestId: 0HNM7L1Q8JJCR:00000004, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/Auth/login'.'
2026-06-11 16:35:23.526 +05:30 [INF] ApiGateway | requestId: 0HNM7L1Q8JJCR:00000004, previousRequestId: No PreviousRequestId, message: '/api/auth/{everything} route does not require user to be authorized'
2026-06-11 16:35:23.528 +05:30 [DBG] ApiGateway | requestId: 0HNM7L1Q8JJCR:00000004, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5001/api/auth/login'
2026-06-11 16:35:23.609 +05:30 [WRN] ApiGateway | requestId: 0HNM7L1Q8JJCR:00000004, previousRequestId: No PreviousRequestId, message: '400 (Bad Request) status code of request URI: http://localhost:5001/api/auth/login.'
2026-06-11 16:35:23.611 +05:30 [DBG] ApiGateway | requestId: 0HNM7L1Q8JJCR:00000004, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-11 16:35:23.613 +05:30 [DBG] ApiGateway | requestId: 0HNM7L1Q8JJCR:00000004, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
